sno,state,type,city,address,search_hit,match_source,top_result_title,top_result_link
1405,Punjab,Hospital,Chandigarh,"Medical Superintendent, ESI Hospital, Ram Darbar, Ph-II Chandigarh",False,,,
1406,Punjab,Hospital,Amritsar,"Medical Superintendent, ESI Hospital, Majitha Road Amritsar",False,,,
1407,Punjab,Hospital,Hoshiarpur,"Medical Superintendent, ESI Hospital, Hoshiarpur",False,,,
1408,Punjab,Hospital,Jalandhar,"Medical Superintendent, ESI Hospital, Behind Civil Hospital, Jalandhar",False,,,
1409,Punjab,Hospital,Phagwara,"Medical Superintendent, ESI Hospital, Phagwara",False,,,
1410,Punjab,Hospital,Ludhiana,"Medical Superintendent, ESI Hospital, Bharat Nagar, Ludhiana",False,,,
1411,Punjab,Hospital,Mandi Gobindgarh,"Medical Superintendent, ESI Hospital, Opposite to Civil Hospital, in campus of Mother Child Care Hospital, Main Bazar, Mandi Gobindgarh, Punjab-147301",False,,,
1412,Punjab,Dispensary,Barnala,"DISP. NO. II Medical Officer Incharge, ESI Dispensary, C/o Malwa Textile Mills, Barnala",False,,,
1413,Punjab,Dispensary,Bhatinda,"DISP. NO. III Medical Officer Incharge, ESI Dispensary, Galaxy Building, Debwali Road, Bhatinda",False,,,
1414,Punjab,Dispensary,Chandigarh,"2, ESI Dispensary, Sector 29, Chandigarh",False,,,
1415,Punjab,Dispensary,Chandigarh,"Medical Officer Incharge, ESI Dispensary, Sector 29, Chandigarh",False,,,
1416,Punjab,Dispensary,Malerkotla,"MALERKOTLA - Medical Officer Incharge, ESI Dispensary, Urban Slum Area, Lal Bazar, Malerkotla",False,,,
1417,Punjab,Dispensary,Mandi Gobindgarh,"MANDI GOBINDGARH - DISP. NO. 1 Medical Officer Incharge, ESI Dispensary, Mandi Gobindgarh",False,,,
1418,Punjab,Dispensary,Moga,"MOGA - Medical Officer Incharge, ESI Dispensary, Nanak Nagri, Moga",False,,,
1419,Punjab,Dispensary,Mohali,"MOHALI - DISP. NO. II Medical Officer Incharge, ESI Dispensary, Phase-II, Mohali",False,,,
1420,Punjab,Dispensary,Mohali,"MOHALI - DISP. NO. I Medical Officer Incharge, ESI Dispensary, Phase-VII, Mohali",False,,,
1421,Punjab,Dispensary,Amritsar,"Medical Officer Incharge, ESI Dispensary, Majitha Road Hospital Complex, Amritsar",True,esic.gov.in,ESIC Dispensaries | Employees' State Insurance Corporation,https://www.esic.gov.in/dispensaries
1422,Punjab,Dispensary,Amritsar,"Medical Officer Incharge, ESI Dispensary, Chheherta, Distt. Amritsar",False,,,
1423,Punjab,Dispensary,Amritsar,"VERKA - Medical Officer Incharge, ESI Dispensary, Verka, Distt. Amritsar",False,,,
1424,Punjab,Dispensary,Hoshiarpur,"Medical Officer Incharge, ESI Dispensary, H.No. R 32, VPO Rahimpur, New Sabjimandi, Purhiran, Distt. Hoshiarpur",False,,,
1425,Punjab,Dispensary,Hoshiarpur,"ESI Dispensary, Saila Khurd, Hoshiarpur",False,,,
